ActivitiesTrainersID,ActivityID,TrainerID,IsHeadTrainer
1001,1,1001,false
1002,2,1002,false
1003,3,1003,false
1004,4,1004,false
1005,5,1005,false
1006,6,1006,false
1007,7,1007,false
1008,8,1008,false
1009,9,1009,false
1010,10,1010,false
1011,11,1011,false
1012,12,1012,false
1013,13,1013,false
1014,14,1014,false
1015,15,1015,false
1016,16,1016,false
1017,17,1017,false
1018,18,1018,false
1019,19,1019,false
1020,20,1020,false
1021,21,1021,false
1022,22,1022,false
1023,23,1023,false
1024,24,1024,false
1025,25,1025,false
1026,26,1026,false
1027,27,1027,false
1028,28,1028,false
1029,29,1029,false
1030,30,1030,false
1031,31,1031,false
1032,32,1032,false
1033,33,1033,false
1034,34,1034,false
1035,35,1035,false
1036,36,1036,false
1037,37,1037,false
1038,38,1038,false
1039,39,1039,false
1040,40,1040,false
1041,41,1041,false
1042,42,1042,false
1043,43,1043,false
1044,44,1044,false
1045,45,1045,false
1046,46,1046,false
1047,47,1047,false
1048,48,1048,false
1049,49,1049,false
1050,50,1050,false
1051,51,1051,false
1052,52,1052,false
1053,53,1053,false
1054,54,1054,false
1055,55,1055,false
1056,56,1056,false
1057,57,1057,false
1058,58,1058,false
1059,59,1059,false
1060,60,1060,false
1061,61,1061,false
1062,62,1062,false
1063,63,1063,false
1064,64,1064,false
1065,65,1065,false
1066,66,1066,false
1067,67,1067,false
1068,68,1068,false
1069,69,1069,false
1070,70,1070,false
1071,71,1071,false
1072,72,1072,false
1073,73,1073,false
1074,74,1074,false
1075,75,1075,false
1076,76,1076,false
1077,77,1077,false
1078,78,1078,false
1079,79,1079,false
1080,80,1080,false
1081,81,1081,false
1082,82,1082,false
1083,83,1083,false
1084,84,1084,false
1085,85,1085,false
1086,86,1086,false
1087,87,1087,false
1088,88,1088,false
1089,89,1089,false
1090,90,1090,false
1091,91,1091,false
1092,92,1092,false
1093,93,1093,false
1094,94,1094,false
1095,95,1095,false
1096,96,1096,false
1097,97,1097,false
1098,98,1098,false
1099,99,1099,false
1100,100,1100,false
1101,101,1101,false
1102,102,1102,false
1103,103,1103,false
1104,104,1104,false
1105,105,1105,false
1106,106,1106,false
1107,107,1107,false
1108,108,1108,false
1109,109,1109,false
1110,110,1110,false
1111,111,1111,false
1112,112,1112,false
1113,113,1113,false
1114,114,1114,false
1115,115,1115,false
1116,116,1116,false
1117,117,1117,false
1118,118,1118,false
1119,119,1119,false
1120,120,1120,false
1121,121,1121,false
1122,122,1122,false
1123,123,1123,false
1124,124,1124,false
1125,125,1125,false
1126,126,1126,false
1127,127,1127,false
1128,128,1128,false
1129,129,1129,false
1130,130,1130,false
1131,131,1131,false
1132,132,1132,false
1133,133,1133,false
1134,134,1134,false
1135,135,1135,false
1136,136,1136,false
1137,137,1137,false
1138,138,1138,false
1139,139,1139,false
1140,140,1140,false
1141,141,1141,false
1142,142,1142,false
1143,143,1143,false
1144,144,1144,false
1145,145,1145,false
1146,146,1146,false
1147,147,1147,false
1148,148,1148,false
1149,149,1149,false
1150,150,1150,false
1151,151,1151,false
1152,152,1152,false
1153,153,1153,false
1154,154,1154,false
1155,155,1155,false
1156,156,1156,false
1157,157,1157,false
1158,158,1158,false
1159,159,1159,false
1160,160,1160,false
1161,161,1161,false
1162,162,1162,false
1163,163,1163,false
1164,164,1164,false
1165,165,1165,false
1166,166,1166,false
1167,167,1167,false
1168,168,1168,false
1169,169,1169,false
1170,170,1170,false
1171,171,1171,false
1172,172,1172,false
1173,173,1173,false
1174,174,1174,false
1175,175,1175,false
1176,176,1176,false
1177,177,1177,false
1178,178,1178,false
1179,179,1179,false
1180,180,1180,false
1181,181,1181,false
1182,182,1182,false
1183,183,1183,false
1184,184,1184,false
1185,185,1185,false
1186,186,1186,false
1187,187,1187,false
1188,188,1188,false
1189,189,1189,false
1190,190,1190,false
1191,191,1191,false
1192,192,1192,false
1193,193,1193,false
1194,194,1194,false
1195,195,1195,false
1196,196,1196,false
1197,197,1197,false
1198,198,1198,false
1199,199,1199,false
1200,200,1200,false
1201,201,1201,false
1202,202,1202,false
1203,203,1203,false
1204,204,1204,false
1205,205,1205,false
1206,206,1206,false
1207,207,1207,false
1208,208,1208,false
1209,209,1209,false
1210,210,1210,false
1211,211,1211,false
1212,212,1212,false
1213,213,1213,false
1214,214,1214,false
1215,215,1215,false
1216,216,1216,false
1217,217,1217,false
1218,218,1218,false
1219,219,1219,false
1220,220,1220,false
1221,221,1221,false
1222,222,1222,false
1223,223,1223,false
1224,224,1224,false
1225,225,1225,false
1226,226,1226,false
1227,227,1227,false
1228,228,1228,false
1229,229,1229,false
1230,230,1230,false
1231,231,1231,false
1232,232,1232,false
1233,233,1233,false
1234,234,1234,false
1235,235,1235,false
1236,236,1236,false
1237,237,1237,false
1238,238,1238,false
1239,239,1239,false
1240,240,1240,false
1241,241,1241,false
1242,242,1242,false
1243,243,1243,false
1244,244,1244,false
1245,245,1245,false
1246,246,1246,false
1247,247,1247,false
1248,248,1248,false
1249,249,1249,false
1250,250,1250,false
1251,251,1251,false
1252,252,1252,false
1253,253,1253,false
1254,254,1254,false
1255,255,1255,false
1256,256,1256,false
1257,257,1257,false
1258,258,1258,false
1259,259,1259,false
1260,260,1260,false
1261,261,1261,false
1262,262,1262,false
1263,263,1263,false
1264,264,1264,false
1265,265,1265,false
1266,266,1266,false
1267,267,1267,false
1268,268,1268,false
1269,269,1269,false
1270,270,1270,false
1271,271,1271,false
1272,272,1272,false
1273,273,1273,false
1274,274,1274,false
1275,275,1275,false
1276,276,1276,false
1277,277,1277,false
1278,278,1278,false
1279,279,1279,false
1280,280,1280,false
1281,281,1281,false
1282,282,1282,false
1283,283,1283,false
1284,284,1284,false
1285,285,1285,false
1286,286,1286,false
1287,287,1287,false
1288,288,1288,false
1289,289,1289,false
1290,290,1290,false
1291,291,1291,false
1292,292,1292,false
1293,293,1293,false
1294,294,1294,false
1295,295,1295,false
1296,296,1296,false
1297,297,1297,false
1298,298,1298,false
1299,299,1299,false
1300,300,1300,false
1301,301,1301,false
1302,302,1302,false
1303,303,1303,false
1304,304,1304,false
1305,305,1305,false
1306,306,1306,false
1307,307,1307,false
1308,308,1308,false
1309,309,1309,false
1310,310,1310,false
1311,311,1311,false
1312,312,1312,false
1313,313,1313,false
1314,314,1314,false
1315,315,1315,false
1316,316,1316,false
1317,317,1317,false
1318,318,1318,false
1319,319,1319,false
1320,320,1320,false
1321,321,1321,false
1322,322,1322,false
1323,323,1323,false
1324,324,1324,false
1325,325,1325,false
1326,326,1326,false
1327,327,1327,false
1328,328,1328,false
1329,329,1329,false
1330,330,1330,false
1331,331,1331,false
1332,332,1332,false
1333,333,1333,false
1334,334,1334,false
1335,335,1335,false
1336,336,1336,false
1337,337,1337,false
1338,338,1338,false
1339,339,1339,false
1340,340,1340,false
1341,341,1341,false
1342,342,1342,false
1343,343,1343,false
1344,344,1344,false
1345,345,1345,false
1346,346,1346,false
1347,347,1347,false
1348,348,1348,false
1349,349,1349,false
1350,350,1350,false
1351,351,1351,false
1352,352,1352,false
1353,353,1353,false
1354,354,1354,false
1355,355,1355,false
1356,356,1356,false
1357,357,1357,false
1358,358,1358,false
1359,359,1359,false
1360,360,1360,false
1361,361,1361,false
1362,362,1362,false
1363,363,1363,false
1364,364,1364,false
1365,365,1365,false
1366,366,1366,false
1367,367,1367,false
1368,368,1368,false
1369,369,1369,false
1370,370,1370,false
1371,371,1371,false
1372,372,1372,false
1373,373,1373,false
1374,374,1374,false
1375,375,1375,false
1376,376,1376,false
1377,377,1377,false
1378,378,1378,false
1379,379,1379,false
1380,380,1380,false
1381,381,1381,false
1382,382,1382,false
1383,383,1383,false
1384,384,1384,false
1385,385,1385,false
1386,386,1386,false
1387,387,1387,false
1388,388,1388,false
1389,389,1389,false
1390,390,1390,false
1391,391,1391,false
1392,392,1392,false
1393,393,1393,false
1394,394,1394,false
1395,395,1395,false
1396,396,1396,false
1397,397,1397,false
1398,398,1398,false
1399,399,1399,false
1400,400,1400,false
1401,401,1401,false
1402,402,1402,false
1403,403,1403,false
1404,404,1404,false
1405,405,1405,false
1406,406,1406,false
1407,407,1407,false
1408,408,1408,false
1409,409,1409,false
1410,410,1410,false
1411,411,1411,false
1412,412,1412,false
1413,413,1413,false
1414,414,1414,false
1415,415,1415,false
1416,416,1416,false
1417,417,1417,false
1418,418,1418,false
1419,419,1419,false
1420,420,1420,false
1421,421,1421,false
1422,422,1422,false
1423,423,1423,false
1424,424,1424,false
1425,425,1425,false
1426,426,1426,false
1427,427,1427,false
1428,428,1428,false
1429,429,1429,false
1430,430,1430,false
1431,431,1431,false
1432,432,1432,false
1433,433,1433,false
1434,434,1434,false
1435,435,1435,false
1436,436,1436,false
1437,437,1437,false
1438,438,1438,false
1439,439,1439,false
1440,440,1440,false
1441,441,1441,false
1442,442,1442,false
1443,443,1443,false
1444,444,1444,false
1445,445,1445,false
1446,446,1446,false
1447,447,1447,false
1448,448,1448,false
1449,449,1449,false
1450,450,1450,false
1451,451,1451,false
1452,452,1452,false
1453,453,1453,false
1454,454,1454,false
1455,455,1455,false
1456,456,1456,false
1457,457,1457,false
1458,458,1458,false
1459,459,1459,false
1460,460,1460,false
1461,461,1461,false
1462,462,1462,false
1463,463,1463,false
1464,464,1464,false
1465,465,1465,false
1466,466,1466,false
1467,467,1467,false
1468,468,1468,false
1469,469,1469,false
1470,470,1470,false
1471,471,1471,false
1472,472,1472,false
1473,473,1473,false
1474,474,1474,false
1475,475,1475,false
1476,476,1476,false
1477,477,1477,false
1478,478,1478,false
1479,479,1479,false
1480,480,1480,false
1481,481,1481,false
1482,482,1482,false
1483,483,1483,false
1484,484,1484,false
1485,485,1485,false
1486,486,1486,false
1487,487,1487,false
1488,488,1488,false
1489,489,1489,false
1490,490,1490,false
1491,491,1491,false
1492,492,1492,false
1493,493,1493,false
1494,494,1494,false
1495,495,1495,false
1496,496,1496,false
1497,497,1497,false
1498,498,1498,false
1499,499,1499,false
1500,500,1500,false
1501,501,1501,false
1502,502,1502,false
1503,503,1503,false
1504,504,1504,false
1505,505,1505,false
1506,506,1506,false
1507,507,1507,false
1508,508,1508,false
1509,509,1509,false
1510,510,1510,false
1511,511,1511,false
1512,512,1512,false
1513,513,1513,false
1514,514,1514,false
1515,515,1515,false
1516,516,1516,false
1517,517,1517,false
1518,518,1518,false
1519,519,1519,false
1520,520,1520,false
1521,521,1521,false
1522,522,1522,false
1523,523,1523,false
1524,524,1524,false
1525,525,1525,false
1526,526,1526,false
1527,527,1527,false
1528,528,1528,false
1529,529,1529,false
1530,530,1530,false
1531,531,1531,false
1532,532,1532,false
1533,533,1533,false
1534,534,1534,false
1535,535,1535,false
1536,536,1536,false
1537,537,1537,false
1538,538,1538,false
1539,539,1539,false
1540,540,1540,false
1541,541,1541,false
1542,542,1542,false
1543,543,1543,false
1544,544,1544,false
1545,545,1545,false
1546,546,1546,false
1547,547,1547,false
1548,548,1548,false
1549,549,1549,false
1550,550,1550,false
1551,551,1551,false
1552,552,1552,false
1553,553,1553,false
1554,554,1554,false
1555,555,1555,false
1556,556,1556,false
1557,557,1557,false
1558,558,1558,false
1559,559,1559,false
1560,560,1560,false
1561,561,1561,false
1562,562,1562,false
1563,563,1563,false
1564,564,1564,false
1565,565,1565,false
1566,566,1566,false
1567,567,1567,false
1568,568,1568,false
1569,569,1569,false
1570,570,1570,false
1571,571,1571,false
1572,572,1572,false
1573,573,1573,false
1574,574,1574,false
1575,575,1575,false
1576,576,1576,false
1577,577,1577,false
1578,578,1578,false
1579,579,1579,false
1580,580,1580,false
1581,581,1581,false
1582,582,1582,false
1583,583,1583,false
1584,584,1584,false
1585,585,1585,false
1586,586,1586,false
1587,587,1587,false
1588,588,1588,false
1589,589,1589,false
1590,590,1590,false
1591,591,1591,false
1592,592,1592,false
1593,593,1593,false
1594,594,1594,false
1595,595,1595,false
1596,596,1596,false
1597,597,1597,false
1598,598,1598,false
1599,599,1599,false
1600,600,1600,false
1601,601,1601,false
1602,602,1602,false
1603,603,1603,false
1604,604,1604,false
1605,605,1605,false
1606,606,1606,false
1607,607,1607,false
1608,608,1608,false
1609,609,1609,false
1610,610,1610,false
1611,611,1611,false
1612,612,1612,false
1613,613,1613,false
1614,614,1614,false
1615,615,1615,false
1616,616,1616,false
1617,617,1617,false
1618,618,1618,false
1619,619,1619,false
1620,620,1620,false
1621,621,1621,false
1622,622,1622,false
1623,623,1623,false
1624,624,1624,false
1625,625,1625,false
1626,626,1626,false
1627,627,1627,false
1628,628,1628,false
1629,629,1629,false
1630,630,1630,false
1631,631,1631,false
1632,632,1632,false
1633,633,1633,false
1634,634,1634,false
1635,635,1635,false
1636,636,1636,false
1637,637,1637,false
1638,638,1638,false
1639,639,1639,false
1640,640,1640,false
1641,641,1641,false
1642,642,1642,false
1643,643,1643,false
1644,644,1644,false
1645,645,1645,false
1646,646,1646,false
1647,647,1647,false
1648,648,1648,false
1649,649,1649,false
1650,650,1650,false
1651,651,1651,false
1652,652,1652,false
1653,653,1653,false
1654,654,1654,false
1655,655,1655,false
1656,656,1656,false
1657,657,1657,false
1658,658,1658,false
1659,659,1659,false
1660,660,1660,false
1661,661,1661,false
1662,662,1662,false
1663,663,1663,false
1664,664,1664,false
1665,665,1665,false
1666,666,1666,false
1667,667,1667,false
1668,668,1668,false
1669,669,1669,false
1670,670,1670,false
1671,671,1671,false
1672,672,1672,false
1673,673,1673,false
1674,674,1674,false
1675,675,1675,false
1676,676,1676,false
1677,677,1677,false
1678,678,1678,false
1679,679,1679,false
1680,680,1680,false
1681,681,1681,false
1682,682,1682,false
1683,683,1683,false
1684,684,1684,false
1685,685,1685,false
1686,686,1686,false
1687,687,1687,false
1688,688,1688,false
1689,689,1689,false
1690,690,1690,false
1691,691,1691,false
1692,692,1692,false
1693,693,1693,false
1694,694,1694,false
1695,695,1695,false
1696,696,1696,false
1697,697,1697,false
1698,698,1698,false
1699,699,1699,false
