ActivitiesMembersID,ActivityID,MemberID
1001,407,1773
1002,453,1966
1003,575,2000
1004,56,1527
1005,374,1826
1006,474,1534
1007,360,1443
1008,582,1675
1009,430,1907
1010,473,1770
1011,381,1434
1012,811,1583
1013,69,1998
1014,922,1867
1015,112,1657
1016,577,1528
1017,305,1827
1018,120,1139
1019,154,1416
1020,330,1946
1021,876,1194
1022,417,1814
1023,309,1233
1024,536,1525
1025,344,1918
1026,807,1895
1027,717,1106
1028,749,1779
1029,764,1097
1030,997,1820
1031,751,1355
1032,335,1307
1033,528,1272
1034,982,1483
1035,185,1906
1036,103,1085
1037,24,1318
1038,919,1010
1039,131,1260
1040,127,1044
1041,644,1953
1042,451,1100
1043,923,1116
1044,148,1539
1045,419,1144
1046,900,1210
1047,594,1716
1048,163,1349
1049,129,1837
1050,13,1119
1051,669,1155
1052,217,1463
1053,261,1878
1054,543,1029
1055,686,1199
1056,321,1875
1057,725,1510
1058,670,1744
1059,865,1968
1060,366,1858
1061,405,1292
1062,917,1877
1063,333,1163
1064,941,1976
1065,681,1523
1066,879,1734
1067,2,1776
1068,271,1092
1069,66,1706
1070,125,1361
1071,47,1696
1072,150,1605
1073,270,1124
1074,490,1800
1075,398,1242
1076,146,1157
1077,973,1150
1078,921,1683
1079,608,1322
1080,565,1761
1081,955,1143
1082,225,1241
1083,76,1313
1084,676,1611
1085,939,1088
1086,396,1035
1087,11,1046
1088,294,1450
1089,816,1465
1090,159,1471
1091,425,1356
1092,869,1930
1093,59,1489
1094,88,1268
1095,831,1038
1096,92,1519
1097,204,1642
1098,690,1891
1099,221,1380
1100,760,1221
1101,615,1712
1102,355,1981
1103,773,1817
1104,634,1149
1105,149,1562
1106,706,1160
1107,239,1500
1108,641,1545
1109,443,1166
1110,44,1887
1111,956,1034
1112,709,1988
1113,740,1357
1114,160,1176
1115,157,1792
1116,208,1844
1117,226,1078
1118,525,1576
1119,600,1486
1120,930,1502
1121,574,1395
1122,249,1901
1123,93,1286
1124,932,1619
1125,43,1839
1126,223,1613
1127,504,1414
1128,469,1407
1129,909,1975
1130,132,1183
1131,262,1232
1132,29,1478
1133,449,1375
1134,683,1612
1135,531,1835
1136,733,1237
1137,496,1650
1138,134,1582
1139,138,1481
1140,244,1922
1141,383,1314
1142,32,1589
1143,640,1834
1144,455,1929
1145,780,1801
1146,385,1032
1147,282,1692
1148,946,1653
1149,214,1949
1150,17,1220
1151,832,1326
1152,55,1842
1153,563,1114
1154,609,1381
1155,571,1919
1156,289,1103
1157,269,1024
1158,897,1174
1159,315,1037
1160,310,1973
1161,454,1584
1162,548,1115
1163,284,1053
1164,950,1850
1165,110,1760
1166,758,1997
1167,246,1107
1168,652,1079
1169,255,1863
1170,215,1695
1171,87,1615
1172,21,1177
1173,265,1999
1174,851,1072
1175,397,1984
1176,649,1262
1177,820,1374
1178,631,1228
1179,614,1305
1180,53,1129
1181,617,1253
1182,190,1778
1183,786,1933
1184,10,1439
1185,216,1646
1186,969,1921
1187,494,1257
1188,611,1570
1189,313,1945
1190,732,1102
1191,235,1729
1192,724,1793
1193,602,1420
1194,721,1039
1195,91,1536
1196,184,1816
1197,349,1458
1198,672,1855
1199,220,1490
1200,427,1080
1201,829,1560
1202,27,1282
1203,682,1767
1204,287,1389
1205,65,1256
1206,436,1482
1207,19,1452
